"Title","Year","TheNumbers_Budget","Kraggle_Budget"
"we are the best!",2014,NA,NA
"we are the pirates of the roads",2015,NA,1700000
"we are x",2016,NA,NA
"we are your friends",2015,2e+06,6000000
"weiner",2016,NA,NA
"welcome back",2015,NA,NA
"welcome to leith",2015,NA,NA
"welcome to me",2015,NA,NA
"wet and reckless",2014,NA,10000
"wetlands",2014,NA,NA
"what if (2014)",2014,NA,NA
"what men do! 2",2015,NA,2000000
"what our fathers did: a nazi legacy",2015,NA,NA
"what the health",2017,NA,273428
"what we do in the shadows",2015,NA,NA
"when animals dream",2014,NA,3000000
"when marnie was there",2015,NA,NA
"when the bough breaks",2016,1e+07,10000000
"when the game stands tall",2014,1.5e+07,15000000
"where hope grows",2015,NA,NA
"where to invade next",2016,NA,NA
"while we're young",2015,1e+07,10000000
"whiplash",2014,3300000,3300000
"whiskey tango foxtrot",2016,3.5e+07,35000000
"whisky galore",2017,NA,NA
"white bird in a blizzard",2014,NA,NA
"white girl",2016,NA,700000
"white god",2014,NA,2200000
"white god",2015,NA,NA
"who's driving doug",2016,NA,1500000
"why don't you play in hell",2014,NA,NA
"why him?",2016,3.8e+07,38000000
"wicked blood",2014,NA,3500000
"wiener-dog",2016,NA,NA
"wild",2014,1.5e+07,15000000
"wild (2014)",2014,NA,NA
"wild card",2015,NA,30000000
"wild city",2015,NA,NA
"wildflower (secretos del alma)",2016,NA,NA
"wild tales",2015,NA,NA
"wind river",2017,NA,11000000
"winter's tale",2014,6e+07,60000000
"wish i was here",2014,6e+06,5500000
"wish upon",2017,1.2e+07,NA
"wolf totem",2015,NA,38000000
"wolf warrior",2015,NA,12000000
"wolf warrior 2",2017,NA,NA
"wolves",2014,NA,18000000
"woman in gold",2015,1.1e+07,11000000
"women who flirt (sajiao nvren)",2014,NA,NA
"wonder",2017,2e+07,NA
"wonderstruck",2017,NA,NA
"wonder wheel",2017,NA,NA
"wonder woman",2017,1.5e+08,149000000
"woodlawn",2015,1.3e+07,12000000
"words and pictures",2014,NA,NA
"worlds apart",2017,NA,NA
"wrong turn 6: last resort",2014,NA,1200000
"xenia",2015,NA,NA
"xi you ji zhi sun wu kong san da bai gu jing",2016,6e+07,NA
"x-men: apocalypse",2016,1.78e+08,178000000
"x-men: days of future past",2014,2e+08,250000000
"xxx: return of xander cage",2017,8.5e+07,85000000
"xxx: the return of xander cage",2017,NA,NA
"yennai arindhaal",2015,NA,7900000
"yip man 3",2016,3.6e+07,NA
"yoga hosers",2016,NA,5000000
"yo-kai watch: the movie",2016,NA,NA
"young and beautiful",2014,NA,NA
"you're not you",2014,NA,NA
"your name.",2017,NA,NA
"youth",2015,1.3e+07,13360000
"youth (2017)",2017,NA,NA
"yu-gi-oh! the dark side of dimensions",2017,NA,NA
"yves saint laurent",2014,NA,12000000
"zero motivation",2014,NA,NA
"z for zachariah",2015,NA,NA
"zhongkui: snow girl and the dark crystal",2015,NA,32000000
"zid",2014,NA,1556288
"zombeavers",2015,NA,NA
"zoolander 2",2016,5e+07,50000000
"zootopia",2016,1.5e+08,150000000
